inn,total_txn,eligible_in_debit,eligible_in_credit
00daa5a8f30e0845,92,True,False
01a51b1885bd7df9,10,True,False
022040a0db9b8c6b,59,True,False
0231283ed4a9954f,20,True,False
029e24ff222dc6ed,19,True,False
02b51bb283f2c4ce,10,True,False
035329a8f919babb,13,True,False
03bd96a1c0fa42cb,65,True,False
043c69bcb36d8aee,18,True,False
052e681b5e854fb7,16,True,False
057d02eccac29fab,67,True,False
05d7689ca03f4e3a,14,True,False
063490b9bce756b0,21,True,False
064111f6a70e5794,31,True,False
071cb5a2cb758f11,33,True,False
071fe97d8476ee86,47,True,False
07e30b64e5adb119,11,True,False
08d74382e886df72,10,True,False
0934cb88127cfc49,74,True,False
09c4f3ed9205e9d2,14,True,False
09fb23a96df1eb4d,14,True,False
0aa3752024250585,13,True,False
0aa581f829a8cdb3,94,True,False
0b4467aadfc97786,11,True,False
0c195e5c389e550b,30,True,False
0dbf4d74877f0f98,15,True,False
0e4b02289e1e94f5,11,True,False
0e659f2c69d120de,12,True,False
0e68a6aba9403a87,13,True,False
0fb837adf61214f9,30,True,False
0ff1e2eb4a8fbd66,17,True,False
100c1ba3113f3283,18,True,False
1026be5ac217bb49,14,True,False
110ab4254c3459eb,54,True,False
11211966f1c9c5ef,13,True,False
117a1b9cd2d615c8,19,True,False
118112805a75d617,18,True,False
11e531d81caef178,15,True,False
12d2cc1f2d077e3d,18,True,False
12f6eda4ed284934,14,True,False
13059cb7d5de9cdb,15,True,False
145cf6b94a8d6ca6,36,True,False
14635d71c5b141dd,18,True,False
1479c8d9fb43e3f3,10,True,False
15fb04226654efb6,10,True,False
166d3e87f3c4665c,10,True,False
16f2afb4033ee1ba,13,True,False
17146ba343ff4014,66,True,False
1722014a2553d8f1,195,True,False
18078d92df938d9a,15,True,False
186916bafc9fba54,18,True,False
1914b398890bd26e,54,True,False
193601b9aa9c3160,27,True,False
19a0476c70ca72e8,16,True,False
19ce3523d70fdc94,11,True,False
1a617cbafcc6ca58,43,True,False
1a7b6a0c143e5148,37,True,False
1a9042f89985e21d,33,True,False
1bf2a0d74e792675,44,True,False
1c61a5ad63b266a8,18,True,False
1c8626a363393d6a,13,True,False
1cb9cd362103dcf0,38,True,False
1ddd32a3d187f090,82,True,False
1e075611f59b9417,17,True,False
1e629b22ac3aa826,37,True,False
1ea70ee292f98e61,13,True,False
1f06a90ba5c84009,10,True,False
1fb8c785888b1ac7,18,True,False
1fc91f44f244efbe,36,True,False
1fe5ccb59117464d,14,True,False
2009ae12dbd4d62b,23,True,False
207ec199ae9f80d1,17,True,False
2090795402ca6bc5,17,True,False
20c3ce2268f14bda,75,True,False
21189cea0054628e,23,True,False
218d8ccf4a624b0d,51,True,False
22997cb75b6d0f44,19,True,False
22fd48a117aa539c,38,True,False
238c71d95d72fadd,80,True,False
242c118d27420582,20,True,False
248a298c638ac0c6,40,True,False
248b1b713dfc77b1,19,True,False
24d12b4d222fd87b,16,True,False
24eec3b758ac0aac,11,False,True
2510a09f8971123d,37,True,False
25c968cf65aba204,54,False,True
25ca66410e61ee66,14,True,False
25d098092a1d9e36,12,True,False
26602098a79b8fe5,12,True,False
26d32c940483adff,16,True,False
278c73a3fbbaea5f,17,True,False
29230dc4ce6d597c,26,True,False
29d5026918cc36cd,22,True,False
2a7b47e6be057c38,18,True,False
2aa7d42d22f697dd,38,True,False
2b0978b82dd31b05,36,True,False
2b11e1efae1eb4b1,18,True,False
2be5f80dc05aff82,12,True,False
2c2b7040181354e2,11,True,False
2c537c5ba874c8de,14,True,False
2c94849f1fa42b62,17,True,False
2d13eb81874b9a0a,58,True,False
2d6e73ecae2071cb,91,True,False
2e46e18d85ef9bfe,11,True,False
2e5dea1bd83011a2,12,True,False
2edcaa9d241013e7,16,True,False
2f3998961cb37c7f,13,True,False
2fa1a5c620cf1cd6,12,False,True
30379c6e2dcce1b3,31,True,False
3073211d08df99ce,23,True,False
3211f3d197d65f4a,17,True,False
32ea3f206cc5e217,10,True,False
330d1b577b3cb390,20,True,False
3405fec95aefed17,15,True,False
3439bf1a7d29c2a2,15,True,False
3482cba82ea1977f,11,True,False
36eb5755679d8da4,23,True,False
